candidate_id,canonical_id,candidate_status,title_ko,category,subcategory,content_type,latitude,longitude,coordinate_distance_m,hours,address,phone,external_official_url,source_detail_url,image_url,visitbusan_uc_seq,linked_source_keys,field_provenance,category_compatibility_method,review_reason
busan-A-00105,busan-A-00105,manual_review,"송도용궁구름다리(한,영, 중간, 중번)",attraction,unknown,,35.06194,129.02191,,,부산광역시 서구 암남동 620-53,,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20200717114921294_ttiel,,AttractionService:833:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",canonical_only,canonical_manual_review
busan-E-00028,busan-E-00028,manual_review,"부산푸드필름페스타(한, 영)",event,unknown,,35.17107,129.12698,,,부산광역시 해운대구 수영강변대로 120,,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20200701210502556_ttiel,,FestivalService:807:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",canonical_only,canonical_manual_review
busan-E-00032,busan-E-00032,manual_review,"별바다부산 나이트페스타(한)//영,중간,중번,일",event,unknown,,35.048126,128.96556,,,"부산광역시 중구, 북구, 사하구, 해운대구 일대",,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20240819181215659_ttiel,,FestivalService:1705:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",canonical_only,canonical_manual_review
busan-VB-1859,,manual_review,K-POP 스타랑 동문 된 썰 푼다,attraction,unknown,experience,35.160553,129.06268,,월~토 13:00-23:00,부산광역시 부산진구 동천로132번길 6 3층,051-808-4521,https://sdkart.modoo.at/,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202008001000&uc_seq=1859&lang_cd=ko,,1859,VisitBusanContent:experience:1859:ko,"{""title_ko"":""visitbusan"",""hours"":""visitbusan"",""address"":""visitbusan"",""latitude"":""visitbusan"",""image_url"":""none""}",unresolved,[REVIEW-09 미확정] REVIEW-09: 공식 URL(sdkart.modoo.at) 2025년 6월 26일 서비스 종료로 접속 불가. 진구 동천로132번길 6 3층 업체의 현재 운영 여부 및 업종 확인 불가 → 최종 unresolved 유지.
