visitbusan_source_key,visitbusan_uc_seq,visitbusan_title_ko,visitbusan_content_type,canonical_id,canonical_title,distance_m,title_similarity,category_compatible,match_status,match_confidence,match_method,visitbusan_hours,visitbusan_address,visitbusan_phone,visitbusan_external_official_url,visitbusan_source_detail_url,canonical_image_url,provenance_note,review_reason
VisitBusanContent:attraction:1796:ko,1796,"목련꽃 가득 안은 성암사, 나만 알고 싶은 부산 봄꽃 성지",attraction,busan-A-00139,"목련꽃 가득 안은 성암사, 나만 알고 싶은 봄꽃 성지(한,영,중간,중번,일)",0,0.8182,Y,manual_review,low,manual_review_geo_near,,부산광역시 남구 진남로 210번길 58-15,051-635-3744,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=1796&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20240321001620807_ttiel,canon:AttractionService:1796:ko,sim_0.818
VisitBusanContent:attraction:1322:ko,1322,복합문화공간 현대 모터스튜디오 부산,attraction,busan-A-00119,"현대 모터스튜디오 부산(한,영,중간,중번,일)",0,0.6000,Y,manual_review,low,manual_review_geo_near,10:00-20:00,부산광역시 수영구 구락로123번길 20,1899-6611(ARS 4번),https://motorstudio.hyundai.com/busan/ln/main.do?strgCd=04,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=1322&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20220913120133333_ttiel,canon:AttractionService:1322:ko,sim_0.600
VisitBusanContent:attraction:367:ko,367,부산영화체험박물관 feat.씨네뮤지엄,attraction,busan-A-00064,부산영화체험박물관/씨네뮤지엄,0,0.6667,Y,manual_review,low,manual_review_geo_near,화 ~ 일 / 10:00 ~ 18:00 (입장 17:00),부산광역시 중구 대청로126번길 12,부산영화체험박물관 0507-1377-4201,http://www.busanbom.kr,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=367&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229144834500_ttiel,canon:AttractionService:367:ko,sim_0.667
VisitBusanContent:attraction:346:ko,346,신명천지 국립부산국악원,attraction,busan-A-00053,국립부산국악원,0,0.6000,Y,manual_review,low,manual_review_geo_near,매일 09:00~18:00,부산광역시 부산진구 국악로2,051-811-0114,http://busan.gugak.go.kr/,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=346&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227181259877_ttiel,canon:AttractionService:346:ko,sim_0.600
VisitBusanContent:attraction:308:ko,308,네 꿈을 펼쳐라! 부산시청자미디어센터,attraction,busan-A-00041,부산시청자미디어센터,0,0.6000,Y,manual_review,low,manual_review_geo_near,"장비 대여, 반납 월~토 : 10:00~11:30 / 오후 14:00~17:00 시설 대관 월~토 10:00~20:40 (토요일 17:40까지)",부산광역시 해운대구 센텀중앙로 42,051-749-9500,https://kcmf.or.kr/comc/busan/,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=308&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226152407686_ttiel,canon:AttractionService:308:ko,sim_0.600
VisitBusanContent:food:1523:ko,1523,삼락하동재첩국,food,busan-F-00236,하동재첩국,0,0.6667,Y,manual_review,low,manual_review_geo_near,05:00-21:30,사상구 낙동대로1518번길 33,051-301-7200,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=1523&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417160652816_ttiel,canon:FoodService:1523:ko,food_or_shopping_strict|sim_0.667
VisitBusanContent:food:1516:ko,1516,부광돼지국밥,food,busan-F-00229,부광돼지국밥전문점,0,0.6250,Y,manual_review,low,manual_review_geo_near,09:30-19:30,중구 대청로 141번길 15-1,051-466-1708,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=1516&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20240419095508857_ttiel,canon:FoodService:1516:ko,food_or_shopping_strict|sim_0.625
VisitBusanContent:shopping:2131:ko,2131,삼진어묵,shopping,busan-F-00088,삼진어묵 본점,0,0.6000,Y,manual_review,low,manual_review_geo_near,매일 09:00 - 19:00,부산광역시 영도구 태종로99번길 36,051-715-5865,https://www.instagram.com/samjinamook/#,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201003001000&uc_seq=2131&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20210415134915004_ttiel,canon:FoodService:1065:ko,food_or_shopping_strict|sim_0.600
VisitBusanContent:experience:1640:ko,1640,부산영화체험박물관,experience,busan-A-00064,부산영화체험박물관/씨네뮤지엄,4,0.6154,Y,manual_review,low,manual_review_geo_near,화 ~ 일 / 10:00 ~ 18:00 (입장 17:00),부산광역시 중구 대청로126번길 12,0507-1377-4201,http://www.busanbom.kr,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202008001000&uc_seq=1640&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229144834500_ttiel,canon:AttractionService:367:ko,sim_0.615
