source_key_ko,source_key_target,target_language,score,confidence,dist_m,title_ko,title_target,link_method
FoodService:564:ko,FoodService:564:zht,zht,100,high,0,김유순대구뽈찜,金柳順辣燉鱈魚 (김유순대구뽈찜),same_id
FoodService:1092:ko,FoodService:1092:zht,zht,100,high,0,광명집,光明家 (광명집),same_id
FoodService:1230:ko,FoodService:1230:zht,zht,100,high,0,무궁화,無窮花,same_id
FoodService:1436:ko,FoodService:1436:zht,zht,100,high,0,마파람해물찜해물탕 구서본점,Maparam燉海鮮海鮮湯久瑞總店 (마파람 해물찜 해물탕 구서본점),same_id
FoodService:1437:ko,FoodService:1437:zht,zht,100,high,0,청해수산,青海水產 (청해수산),same_id
FoodService:1438:ko,FoodService:1438:zht,zht,100,high,0,궁중해물탕 조씨집 대연본점,宮廷海鮮湯趙氏家 (궁중해물탕 조씨집),same_id
FoodService:1439:ko,FoodService:1439:zht,zht,100,high,0,까치횟집,喜鵲生魚片店 (까치횟집),same_id
FoodService:1441:ko,FoodService:1441:zht,zht,100,high,0,미청식당,味青餐廳 (미청식당),same_id
FoodService:1451:ko,FoodService:1451:zht,zht,100,high,0,원조 바다집,元祖大海家 (원조 바다집),same_id
FoodService:1453:ko,FoodService:1453:zht,zht,100,high,0,소문난원조조방낙지본점,元祖朝紡章魚總店 (소문난 원조 조방낙지),same_id
FoodService:1454:ko,FoodService:1454:zht,zht,100,high,0,오대양횟집,五大洋生魚片店 (오대양횟집),same_id
FoodService:1455:ko,FoodService:1455:zht,zht,100,high,0,오륙도낙지 범일본점,五六島章魚 凡一總店 (오륙도 낙지 범일본점),same_id
FoodService:1456:ko,FoodService:1456:zht,zht,100,high,0,일미아구찜,一味辣燉安康魚 (일미아구찜),same_id
FoodService:1457:ko,FoodService:1457:zht,zht,100,high,0,제주복국,濟州河豚湯 (제주복국),same_id
FoodService:1806:ko,FoodService:1806:zht,zht,100,high,0,무진장횟집 기장점,絕味生魚片機張店,same_id
FoodService:1836:ko,FoodService:1836:zht,zht,100,high,0,고등어다찌  연산본점,青花魚生魚片蓮 山總店,same_id
FoodService:87:ko,FoodService:87:zht,zht,100,high,0,사미헌,思美軒 (사미헌),same_id
FoodService:141:ko,FoodService:141:zht,zht,100,high,0,거대갈비,巨型排骨 (거대갈비),same_id
FoodService:200:ko,FoodService:200:zht,zht,100,high,0,옛날오막집,小茅屋 (옛날 오막집),same_id
FoodService:890:ko,FoodService:890:zht,zht,100,high,0,오륙도 가원,五六島 嘉苑 (오륙도 가원),same_id
FoodService:944:ko,FoodService:944:zht,zht,100,high,0,남촌,南村 (남촌),same_id
FoodService:1100:ko,FoodService:1100:zht,zht,100,high,0,호포갈비 문현점,虎脯排骨門峴店 (호포갈비 문현점),same_id
