canonical_id,canonical_key,status,category,source_service,lang_count,member_count,languages,kto_merges,title_ko,address,district,latitude,longitude,image_url,venue,event_period_raw
busan-A-00021,AttractionService:277:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,"유엔기념공원, 유엔평화기념관(한,영,중간,중번,일)",유엔기념공원 : 부산광역시 남구 유엔평화로 93  유엔평화기념관 : 부산광역시 남구 홍곡로320번길 106,남구,35.1277,129.09775,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225164342360_ttiel,,
busan-A-00022,AttractionService:278:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,오륙도,부산광역시 남구 오륙도로 137,남구,35.102177,129.12334,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225164921130_ttiel,,
busan-A-00023,AttractionService:279:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,신선대,부산광역시 남구 신선대산복로 174번길 78,남구,35.102272,129.10277,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225165635368_ttiel,,
busan-A-00024,AttractionService:280:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,"송정해수욕장, 죽도공원",부산광역시 해운대구 송정해변로 62,해운대구,35.1786,129.19966,https://www.visitbusan.net/uploadImgs/files/cntnts/20230630185239164_ttiel,,
busan-A-00025,AttractionService:281:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,"아난티 코브 이터널저니(한,영,중간,중번,일)",부산광역시 기장군 기장읍 기장해안로 268-32,기장군,35.197235,129.22784,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225170855698_ttiel,,
busan-A-00026,AttractionService:285:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,민락수변공원,부산광역시 수영구 민락동 110-19,수영구,35.15487,129.13399,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225174730014_ttiel,,
busan-A-00027,AttractionService:286:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,"송도해수욕장(한,영,중간,중번,일)",부산광역시 서구 송도해변로 100,서구,35.07595,129.01694,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225175459392_ttiel,,
busan-A-00028,AttractionService:287:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,아미산전망대,부산광역시 사하구 다대낙조2길 77,사하구,35.052727,128.96075,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225180243523_ttiel,,
busan-A-00029,AttractionService:288:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,아미동 비석마을,부산광역시 서구 아미로49,서구,35.099068,129.0127,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226093554532_ttiel,,
busan-A-00030,AttractionService:289:ko,same_place,attraction,AttractionService,6,7,ko|en|ja|zhs|zht|en,KorService2:130166:ko,부산시립미술관,부산광역시 해운대구 APEC로 58,해운대구,35.16702,129.1369,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226100545553_ttiel,,
busan-A-00031,AttractionService:290:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,오랑대공원,부산 기장군 기장읍 시랑리 산1-18,기장군,35.205246,129.22583,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226101451768_ttiel,,
busan-A-00032,AttractionService:291:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,국립수산과학관,부산광역시 기장군 기장읍 기장해안로 216,기장군,35.193687,129.22423,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226102157667_ttiel,,
busan-A-00033,AttractionService:295:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,요산문학관,부산광역시 금정구 팔송로 60-6,금정구,35.27258,129.08571,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226105751809_ttiel,,
busan-A-00034,AttractionService:296:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,박차정의사 생가,부산광역시 동래구 명륜로98번길 129-10,동래구,35.20168,129.0904,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226110347271_ttiel,,
busan-A-00035,AttractionService:297:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,우장춘 기념관,부산광역시 동래구 우장춘로62번길 7,동래구,35.213547,129.07202,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226110901484_ttiel,,
busan-A-00036,AttractionService:298:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,누리바라기전망대,부산광역시 서구 남부민동 50-40,서구,35.09092,129.02019,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226113720642_ttiel,,
busan-A-00037,AttractionService:299:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,"최민식갤러리(한,영,중간,중번,일)",부산광역시 서구 천마산로410,서구,35.09833,129.01472,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226115628787_ttiel,,
busan-A-00038,AttractionService:301:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,수영사적공원,부산광역시 수영구 수영성로 43,수영구,35.170967,129.1143,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226132135171_ttiel,,
busan-A-00039,AttractionService:302:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,부산기상관측소,부산광역시 중구 복병산길32번길 5-11,중구,35.104973,129.03218,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226132812226_ttiel,,
busan-A-00040,AttractionService:304:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,"철새와 함께하는 아름다운 문화의 향연, 을숙도(한,영,중간,중번,일)",부산광역시 사하구 낙동남로 1240,사하구,35.107143,128.94283,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226143325464_ttiel,,
busan-A-00041,AttractionService:308:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,부산시청자미디어센터,부산광역시 해운대구 센텀중앙로 42,해운대구,35.17255,129.1302,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226152407686_ttiel,,
busan-A-00042,AttractionService:313:ko,same_place,attraction,AttractionService,5,6,ko|en|ja|zhs|zht,KorService2:2755676:ko,"구포어린이교통공원(한,영,중간,중번,일)",부산광역시 북구 낙동북로 687,북구,35.200676,129.0009,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226182356876_ttiel,,
busan-A-00043,AttractionService:314:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,부산솔로몬로파크,부산광역시 북구 낙동북로 755,북구,35.200798,129.00198,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226183133502_ttiel,,
