candidate_id,provider,image_url,source_record_id,source_detail_url,rights_field_name,rights_field_value,linkage_method,linkage_status,confidence,note
busan-K-00334,kto,http://tong.visitkorea.or.kr/cms/resource/96/2756896_image2_1.jpg,2756678,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2756678→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00336,kto,http://tong.visitkorea.or.kr/cms/resource/41/3497041_image2_1.jpg,2756696,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type1,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2756696→raw cpyrhtDivCd=Type1. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00337,kto,http://tong.visitkorea.or.kr/cms/resource/54/2756954_image2_1.jpg,2756707,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2756707→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00338,kto,http://tong.visitkorea.or.kr/cms/resource/82/3336582_image2_1.jpg,2758469,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2758469→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00339,kto,http://tong.visitkorea.or.kr/cms/resource/46/3342846_image2_1.jpg,2758489,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2758489→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00340,kto,http://tong.visitkorea.or.kr/cms/resource/36/3342836_image2_1.jpg,2758498,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2758498→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00341,kto,http://tong.visitkorea.or.kr/cms/resource/56/2759656_image2_1.jpg,2759593,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2759593→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00343,kto,http://tong.visitkorea.or.kr/cms/resource/64/2759664_image2_1.jpg,2759611,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2759611→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00346,kto,http://tong.visitkorea.or.kr/cms/resource/66/2761266_image2_1.jpg,2760773,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2760773→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00347,kto,http://tong.visitkorea.or.kr/cms/resource/77/3343377_image2_1.jpg,2763856,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2763856→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00348,kto,http://tong.visitkorea.or.kr/cms/resource/95/3561995_image2_1.jpg,2763881,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type1,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2763881→raw cpyrhtDivCd=Type1. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00349,kto,http://tong.visitkorea.or.kr/cms/resource/76/3561476_image2_1.jpg,2763981,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type1,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2763981→raw cpyrhtDivCd=Type1. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00350,kto,http://tong.visitkorea.or.kr/cms/resource/61/3342761_image2_1.jpg,2764008,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2764008→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00352,kto,http://tong.visitkorea.or.kr/cms/resource/73/3561273_image2_1.jpg,2775495,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type1,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2775495→raw cpyrhtDivCd=Type1. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
