candidate_id,restaurant_name,image_url,http_status,mime_type,file_size_bytes,width,height,technical_status,visual_inspection_status,final_recommendation,decision_reason
busan-F-00022,동백섬횟집,https://www.visitbusan.net/uploadImgs/files/cntnts/20240419134206865_ttiel,200,image/jpeg,102841,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 102841B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00023,르꽁비브,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219101750249_ttiel,200,image/jpeg,40751,1200,544,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 40751B + 1200×544px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00024,파니니브런치본점,https://www.visitbusan.net/uploadImgs/files/cntnts/20230531123640913_ttiel,200,image/jpeg,88811,1200,544,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 88811B + 1200×544px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00025,문스시,https://www.visitbusan.net/uploadImgs/files/cntnts/20200818130348030_ttiel,200,image/jpeg,132759,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 132759B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00026,할매재첩국집,https://www.visitbusan.net/uploadImgs/files/cntnts/20230608100341246_ttiel,200,image/jpeg,58587,1200,544,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 58587B + 1200×544px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00027,예이제,https://www.visitbusan.net/uploadImgs/files/cntnts/20240419174000260_ttiel,200,image/jpeg,46262,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 46262B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00028,합천일류돼지국밥,https://www.visitbusan.net/uploadImgs/files/cntnts/20230605170838962_ttiel,200,image/jpeg,86788,1200,544,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 86788B + 1200×544px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00029,원조석대추어탕,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219104936271_ttiel,200,image/jpeg,96886,1200,544,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 96886B + 1200×544px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00030,웨이브온커피,https://www.visitbusan.net/uploadImgs/files/cntnts/20240416143124508_ttiel,200,image/jpeg,75069,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 75069B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00031,대티물꽁,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417163511863_ttiel,200,image/jpeg,112365,1200,544,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 112365B + 1200×544px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00032,원조18번완당,https://www.visitbusan.net/uploadImgs/files/cntnts/20240418090456625_ttiel,200,image/jpeg,91107,1200,544,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 91107B + 1200×544px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00033,할매복국,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219134018171_ttiel,200,image/jpeg,106324,1200,544,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 106324B + 1200×544px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00034,젠스시,https://www.visitbusan.net/uploadImgs/files/cntnts/20240422090815838_ttiel,200,image/jpeg,78778,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 78778B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00035,신창국밥 본점,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417173744613_ttiel,200,image/jpeg,101586,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 101586B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00036,옛날오막집,https://www.visitbusan.net/uploadImgs/files/cntnts/20240418090136482_ttiel,200,image/jpeg,124584,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 124584B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00037,평안도족발,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219141936064_ttiel,200,image/jpeg,98866,1200,544,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 98866B + 1200×544px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00038,한우숯불양곱창,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819165333332_ttiel,200,image/jpeg,154498,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 154498B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00039,쌍둥이돼지국밥 본점,https://www.visitbusan.net/uploadImgs/files/cntnts/20230607155733028_ttiel,200,image/jpeg,43672,1200,544,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 43672B + 1200×544px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
