candidate_id,title_ko,category,district,lat,lng,primary_source_type,primary_external_id,linked_source_keys,source_url,display_url,primary_image_url,image_count,image_status,rights_status,rights_basis,collected_at,provenance_file,provenance_commit
busan-A-00013,"한성1918 부산생활문화센터(한,영,중간,중번,일)",attraction,중구,35.10178,129.03444,busan_official_api,AttractionService:268:ko,AttractionService:268:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225150936833_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00014,"조선통신사역사관(한,영,중간,중번,일)",attraction,동구,35.135754,129.06203,visitbusan_web,VisitBusanContent:attraction:269:ko,VisitBusanContent:attraction:269:ko|AttractionService:269:ko,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=269&lang_cd=ko,http://www.tongsinsa.com/html/,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225151358656_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T07:12:28.336Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00015,부산해양자연사박물관,attraction,동래구,35.22178,129.07591,visitbusan_web,VisitBusanContent:attraction:270:ko,VisitBusanContent:attraction:270:ko|AttractionService:270:ko,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=270&lang_cd=ko,http://sea.busan.go.kr,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225151830289_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T07:12:22.267Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00016,보수동책방골목,attraction,중구,35.103367,129.02663,busan_official_api,AttractionService:272:ko,AttractionService:272:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225154726785_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00017,"임시수도기념관(한,영,중간,중번,일)",attraction,서구,35.103527,129.01735,busan_official_api,AttractionService:273:ko,AttractionService:273:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20250929174908393_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00018,"동아대석당박물관(한,영,중간,중번,일)",attraction,서구,35.10497,129.01926,busan_official_api,AttractionService:274:ko,AttractionService:274:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225160959194_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00019,"국립일제강제동원역사관(한,영,중간,중번,일)",attraction,남구,35.124355,129.09192,busan_official_api,AttractionService:275:ko,AttractionService:275:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225162953256_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00020,부산박물관,attraction,남구,35.12957,129.09451,busan_official_api,AttractionService:276:ko,AttractionService:276:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225163741459_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00021,"유엔기념공원, 유엔평화기념관(한,영,중간,중번,일)",attraction,남구,35.1277,129.09775,busan_official_api,AttractionService:277:ko,AttractionService:277:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225164342360_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00022,오륙도,attraction,남구,35.102177,129.12334,busan_official_api,AttractionService:278:ko,AttractionService:278:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225164921130_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
