candidate_id,place_name,current_vb_image_url,matched_kto_contentid,replacement_kto_image_url,kto_license_type,match_method,match_confidence,replacement_status,decision_reason
busan-A-00028,아미산전망대,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225180243523_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00029,아미동 비석마을,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226093554532_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00030,부산시립미술관,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226100545553_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00031,오랑대공원,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226101451768_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00032,국립수산과학관,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226102157667_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00033,요산문학관,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226105751809_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00034,박차정의사 생가,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226110347271_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00035,우장춘 기념관,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226110901484_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00036,누리바라기전망대,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226113720642_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00037,"최민식갤러리(한,영,중간,중번,일)",https://www.visitbusan.net/uploadImgs/files/cntnts/20191226115628787_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
