candidate_id,title_ko,category,image_status_21g,image_status_21h_rev2,status_changed,rights_status
busan-A-00067,"중앙공원, 민주공원",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00068,"황령산 전망쉼터(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00069,F1963,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00070,해운대,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00071,광안리해수욕장,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00072,금정산,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00073,금강공원&식물원,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00074,"범어사 (한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00075,동래읍성,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00076,상해거리,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00077,"이중섭문화거리(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00078,"복천박물관, 복천동고분군",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00079,벡스코,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00080,"영화의 전당(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00081,"장안사(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00082,백양산,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00083,성지곡수원지,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00084,"장산(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00085,석불사,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00086,"동래향교, 기장향교(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00087,"가덕도 연대봉(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00088,승학산 억새평원,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00089,"대룡마을(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00090,대신공원,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00091,"화명수목원(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00092,선암사,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00093,운수사,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00094,"스포원파크(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00095,"우암동 소막마을(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00096,"충렬사(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00097,부산커피박물관,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00098,사상생활사박물관,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00099,사직야구장,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00100,"부산타워(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00101,"신평소공원(한, 영)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00102,기장 도예 관광 힐링촌 테마숲(한),attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00103,부산신발이야기(한),attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00104,"오션블루 가덕휴게소(한, 중간)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00106,"정승빈작가-우암동 소막마을(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00107,"부산치유의 숲(한, 영)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00108,구덕문화공원(한),attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00109,"정승빈작가-아미동비석마을(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00110,"힐링하기 좋은 부산 어촌마을 (한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00111,"턴투워드부산(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00112,"기장 달음산 자연휴양림(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00113,"부산도서관(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00114,"해운대수목원 (한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00115,"영도 봉산마을(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00116,"KT&G상상마당 부산(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00117,"광안종합시장 (한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00118,"롯데월드 어드벤처 부산 (한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00119,"현대 모터스튜디오 부산(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00120,"힙함 가득한 전포공구길(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00121,"송도해상케이블카(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00122,"화명생태공원(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00123,"태종대자동차극장(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00124,"부산근현대역사관 별관(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00125,"우암동 도시숲(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00126,"서면미술관(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00127,"부산현대미술관(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00128,"대저생태공원(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00129,"맥도생태공원(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00130,"금빛노을브릿지(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00131,"감전야생화단지(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00132,"국제커피박물관(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00133,"박태준기념관(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00134,"다대포해변공원(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00135,"유엔평화공원(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00136,"정중앙공원(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00137,"복천사(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00138,"인공철새서식지 명품둘레길(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
