candidate_id,title_ko,primary_status,pg_high_count,pg_manual_count,best_pg_confidence,representative_photo_id,representative_photo_url,representative_title,selection_score,classification,reason
busan-A-00174,"도모헌(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00175,"동삼동패총전시관(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00176,"부산시민공원 역사문화관(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00177,"다대포 바다누리길(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00178,"광안리 골방(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00179,"오시리아 해안 산책로(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00180,"홍티아트센터(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00181,"일광 광산마을(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00182,"부산항 제 1부두(한,영,중간,중번,일)",review_required,0,27,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-A-00183,"유엔평화기념관(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00184,"명지 철새 탐조대(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00185,"포디움다이브엠(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00186,"갤러리 수정(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00187,"이바구캠프(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00188,"디오티미술관(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00189,"오륜대 순교자 성지(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00190,"갤러리 플레이리스트(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00191,"영도해돋이전망대 (한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00192,"해광사(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00193,"륜 빌리지 (한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00194,"내원정사(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00195,"홍법사(한,영,중간,중번,일)",review_required,0,12,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-A-00196,"부산어린이대공원 치유의숲(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00197,"동백섬(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00198,"중사도(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00199,"모퉁이극장(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00200,"영주맨션(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00201,"황령산레포츠공원(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00202,"범어사 성보박물관(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00203,대룡마을,review_required,1,0,high,2928399,https://tong.visitkorea.or.kr/cms/resource_photo/99/2928399_image2_1.jpg,대룡마을,20,review_required,"primary rights unknown (dec=""review_required""); PG match=high"
busan-A-00204,"남포, 광복지하도상가",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00205,황령산봉수전망대,review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00206,1934 기차 동래역,review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00207,대항 어항동 방파제 등대,review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00208,충무동 해안시장,review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00209,초량 이바구길,review_required,0,55,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-A-00210,고려제강기념관,review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00211,회동수원지,review_required,0,8,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-A-00212,리틀 프린스 하우스,review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00213,지그재그아트센터,review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00001,"부산바다축제(한,영, 중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00002,"수국축제(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00003,"센텀맥주축제(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00004,"금정산성축제(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00005,"낙동강구포나루축제(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00006,"부산불꽃축제(한, 영, 중간, 중번, 일)",review_required,0,16,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-E-00007,"삼광사 연등축제(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00008,"해운대모래축제(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00009,"부산항축제(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00010,"동래읍성 역사축제(한, 영, 중간, 중번, 일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00011,"부산자갈치축제(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00012,"차이나타운특구 문화축제(한,영,중간,중번,일)",review_required,0,1,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-E-00013,"부산바다미술제(한,영,중간,중번,일)",review_required,0,1,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-E-00014,"해운대 빛축제(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00015,"기장미역다시마축제(한, 영, 중간, 중번, 일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00016,"광안리어방축제(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00017,"기장멸치축제(한, 영, 중간, 중번, 일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00018,"광복로 겨울빛 트리축제(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00019,"부산국제록페스티벌(한,영, 중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00020,"대저토마토축제(한, 영, 중간, 중번, 일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00021,"낙동강 정원 벚꽃축제(한,영,중간,중번,일)",review_required,0,1,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-E-00022,"사상강변축제(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00023,"해운대달맞이온천축제(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00024,"해운대북극곰축제(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00025,"조선통신사축제(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00026,"부산국제영화제(한, 영, 중간, 중번, 일)",review_required,0,7,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-E-00027,"감천문화마을골목축제(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00029,"부산연등회(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00030,"부산수제맥주마스터스챌린지(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00031,"나이트레이스 인 부산(한, 영, 중간, 중번, 일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00033,부산국제마케팅광고제(한),review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00034,부산국제어린이청소년영화제,review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00035,2024 용두산 썸머 비치,review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00036,"서면 빛 축제(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00037,2026 원아시아페스티벌(BOF),review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00038,택슐랭,review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00039,부산콘서트홀 개관 페스티벌,review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-E-00040,김해공항 Welcome to Busan 환대 행사,review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
