candidate_id,title_ko,category,image_url,image_source_domain,prior_vb_rights_class,rights_status,classification_method,rights_basis,blocked_reason,review_reason
busan-A-00020,부산박물관,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225163741459_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00021,"유엔기념공원, 유엔평화기념관(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225164342360_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00022,오륙도,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225164921130_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00023,신선대,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225165635368_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00024,"송정해수욕장, 죽도공원",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20230630185239164_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00025,"아난티 코브 이터널저니(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225170855698_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00026,민락수변공원,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225174730014_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00027,"송도해수욕장(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225175459392_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00028,아미산전망대,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225180243523_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00029,아미동 비석마을,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226093554532_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00030,부산시립미술관,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226100545553_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00031,오랑대공원,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226101451768_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00032,국립수산과학관,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226102157667_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00033,요산문학관,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226105751809_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00034,박차정의사 생가,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226110347271_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00035,우장춘 기념관,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226110901484_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00036,누리바라기전망대,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226113720642_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00037,"최민식갤러리(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226115628787_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00038,수영사적공원,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226132135171_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00039,부산기상관측소,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226132812226_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00040,"철새와 함께하는 아름다운 문화의 향연, 을숙도(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226143325464_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00041,부산시청자미디어센터,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226152407686_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00042,"구포어린이교통공원(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226182356876_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00043,부산솔로몬로파크,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226183133502_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00044,부산어촌민속관,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226184130120_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00045,삼락생태공원,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20230602100722403_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00046,"암남공원, 송도해안볼레길",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227112720050_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00047,장림포구 (부네치아),attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227160751479_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00048,가덕도,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227161822663_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00049,렛츠런파크 부산경남,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227163229549_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00050,국립부산과학관,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20230901132543063_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00051,송상현광장,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227175243198_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
